Review,Label
Saya merasa terdorong untuk berpartisipasi aktif dalam pembelajaran.,1
Guru ini selalu memberikan kesempatan kepada siswa untuk berbicara.,1
Guru ini ramah dan mudah diajak berdiskusi.,1
Sering kali tidak menjelaskan tujuan dari pelajaran,0
Kurang memberikan dukungan kepada siswa yang mengalami kesulitan belajar,0
Materi yang diajarkan terlalu banyak dalam satu pertemuan,0
Tidak memberikan kesempatan kepada siswa untuk bertanya,0
Kurang memberikan dukungan emosional kepada siswa yang mengalami kegagalan,0
Guru ini membuat suasana kelas menjadi lebih hidup.,1
Tidak memberikan kesempatan kepada siswa untuk eksplorasi kreativitas,0
Materi yang diajarkan tidak sesuai dengan kurikulum,0
Saya merasa guru ini memberikan nilai lebih dalam proses pembelajaran.,1
Tidak memberikan umpan balik yang mendalam,0
Tidak memberikan solusi terhadap kesulitan belajar siswa,0
Materi pelajaran disajikan dengan cara yang mudah dipahami.,1
Guru ini selalu memberikan umpan balik yang konstruktif.,1
Saya merasa semangat belajar setiap kali masuk kelas guru ini.,1
Materi yang diajarkan tidak diperbarui,0
Guru ini memberikan pandangan yang berbeda terhadap materi pelajaran.,1
Kurang kreatif dalam metode pengajaran,0
Guru ini membuat pembelajaran menjadi lebih menyenangkan.,1
Tidak memberikan kesempatan kepada siswa untuk mengeksplorasi minat mereka,0
Guru ini selalu memberikan umpan balik yang membantu dalam peningkatan diri.,1
Saya merasa terbantu dengan adanya bimbingan dari guru ini.,1
Tidak memberikan bantuan dalam memahami feedback ujian,0
Pertemuan online seringkali terganggu oleh suara latar belakang,0
Guru ini selalu menghadirkan suasana yang positif dalam kelas.,1
Saya merasa terdorong untuk terus meningkatkan prestasi akademis saya.,1
Sering memberikan tugas yang tidak terkait satu sama lain,0
Pertemuan online sering terputus,0
Tidak memberikan kesempatan kepada siswa untuk berpartisipasi dalam kegiatan ekstrakurikuler,0
Guru ini memberikan materi tambahan yang sangat membantu.,1
Guru ini selalu memberikan inspirasi kepada siswa-siswanya.,1
Tidak memberikan keterlibatan dalam kegiatan ekstrakurikuler,0
Tidak memberikan tugas yang relevan dengan dunia nyata,0
Guru ini memberikan contoh nyata yang memudahkan pemahaman.,1
Tidak memberikan bimbingan karir dengan baik,0
Materi yang diajarkan terlalu sulit untuk dipahami,0
Guru ini membuat saya semakin tertarik untuk menjelajahi ilmu pengetahuan.,1
Guru ini selalu memberikan dukungan kepada siswa-siswa.,1
Saya merasa dihargai sebagai siswa oleh guru ini.,1
Guru ini memiliki keahlian dalam menjelaskan konsep-konsep sulit.,1
Sulit dimengerti saat memberikan tugas,0
Saya merasa guru ini memiliki integritas yang tinggi dalam mengajar.,1
Guru ini membuat saya semakin tertarik dengan mata pelajaran ini.,1
Guru ini mengajarkan bukan hanya teori tapi juga aplikasinya.,1
Pertemuan online sering bermasalah,0
Sering memberikan tugas yang membutuhkan bantuan orang tua,0
Selalu memberikan nilai rendah tanpa alasan jelas,0
Saya merasa guru ini benar-benar fokus pada pembelajaran siswa.,1
Saya merasa guru ini memiliki keahlian dalam mengajar yang luar biasa.,1
Guru ini selalu memberikan penilaian yang adil dan objektif.,1
Guru ini membuat saya semakin tertarik untuk mendalami materi pelajaran.,1
Saya merasa guru ini memberikan perhatian khusus terhadap setiap siswa.,1
Saya merasa guru ini mempersiapkan saya dengan baik untuk ujian.,1
Kurang memotivasi siswa untuk belajar,0
Saya merasa nyaman bertanya kepada guru ini.,1
Saya merasa guru ini selalu menghargai berbagai pendapat siswa.,1
Kurang memotivasi siswa untuk berpartisipasi,0
Saya merasa terdorong untuk mencapai yang terbaik setelah belajar dengan guru ini.,1
Saya merasa terbimbing dengan baik dalam mengembangkan keterampilan sosial.,1
Guru ini memberikan kesempatan kepada siswa untuk berpendapat.,1
Saya merasa guru ini memiliki cara unik dalam mengajarkan materi.,1
Kurang memberikan alternatif dalam pembelajaran,0
Materi yang diajarkan tidak relevan dengan ujian,0
Pertemuan online seringkali terdengar tidak jelas,0
Sering memberikan tugas yang tidak sesuai dengan tingkat kesulitan siswa,0
Guru ini memberikan dorongan kepada setiap siswa untuk mencapai impian mereka.,1
Tidak memberikan bimbingan karir yang memadai,0
Pertemuan online sering kali mengalami masalah teknis,0
Pertemuan online seringkali terganggu oleh gangguan eksternal,0
Saya merasa guru ini memiliki kemampuan dalam mengelola waktu dengan baik.,1
Guru ini memotivasi saya untuk terus belajar dan berkembang.,1
Kurang memberikan dukungan finansial kepada siswa yang berprestasi akademik,0
Saya merasa beruntung memiliki guru sebaik ini.,1
Pertanyaan guru selalu menantang pikiran saya.,1
Kurang memberikan dukungan kepada siswa yang membutuhkan,0
Guru ini memberikan motivasi kepada setiap siswa untuk mencapai prestasi.,1
Tidak memberikan bimbingan belajar yang efektif,0
Kurang memberikan dukungan emosional kepada siswa,0
Materi yang diajarkan tidak mengikuti perkembangan zaman,0
Materi yang diajarkan terlalu sulit untuk diterapkan dalam kehidupan sehari-hari,0
Tidak memberikan waktu tambahan untuk ujian,0
Sering memberikan hukuman yang tidak sesuai,0
Tidak memberikan proyek-proyek yang membangkitkan minat siswa,0
Pertemuan online seringkali terlalu pendek,0
Guru ini membimbing dengan sabar dalam menyelesaikan tugas.,1
